brand_name,carname,carImg,saleVolume, price,manufacturer,rank,carModel, energyType,marketTime,insure
凯迪拉克,凯迪拉克CT5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/293217d96dd84452b6267df0dd6df9cf~tplv-resize:640:0.png,9100,"[21.47, 28.67]",上汽通用凯迪拉克,80,中型车,汽油,2023.12,3年不限公里
吉利汽车,博越L,https://p3-dcd.byteimg.com/img/motor-mis-img/1214ac87d1a1f6dd0313f3d3d336c2eb~tplv-resize:640:0.png,9088,"[10.97, 15.87]",吉利汽车,81,紧凑型SUV,汽油,2022.10,4年或10万公里
福特,蒙迪欧,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3ad464028fb74a7785bc2a6c606a6d3a~tplv-resize:640:0.png,8726,"[13.98, 20.98]",长安福特,82,中型车,汽油,2023.07,3年或10万公里
捷达,捷达VS5,https://p9-dcd.byteimg.com/img/motor-mis-img/4e0ece8f2c30e8a65193f373a1b02195~tplv-resize:640:0.png,8667,"[8.69, 11.79]",一汽-大众捷达,83,紧凑型SUV,汽油,2023.05,3年或10万公里
大众,凌渡,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/72aad906601447f59df191ebb8522c58~tplv-resize:640:0.png,8653,"[11.79, 16.49]",上汽大众,84,紧凑型车,汽油,2023.08,3年或10万公里
奔腾,奔腾B70,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/39774d70f0c445a88fa3a332502c53e3~tplv-resize:640:0.png,8588,"[8.99, 13.79]",一汽奔腾,85,中型车,汽油,2023.12,3年或10万公里
五菱汽车,五菱星光PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3296256fb9934a1bbcd5aa2584a1e3cf~tplv-resize:640:0.png,8550,"[8.88, 10.58]",上汽通用五菱,86,中型车,插电式混合动力,2023.12,6年或15万公里
别克,昂科威,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8c49aa2236a74207a201bac3a1f90046~tplv-resize:640:0.png,8407,"[15.49, 24.59]",上汽通用别克,87,中型SUV,48V轻混系统,2023.03,3年或10万公里
比亚迪,汉EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e6d6f7c2291d47f6a4a7d19c3ec01892~tplv-resize:640:0.png,8310,"[19.98, 27.98]",比亚迪,88,中大型车,纯电动,2023.03,6年或15万公里
比亚迪,驱逐舰 05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,8302,"[9.18, 14.28]",比亚迪,89,紧凑型车,插电式混合动力,2023.04,6年或15万公里
极氪,ZEEKR 001,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5ae619a7dcb244778e7dac067784674b~tplv-resize:640:0.png,7980,"[26.9, 76.9]",极氪,90,中大型车,纯电动,2023.01,4年或10万公里
本田,英仕派,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/068adb9f4c04421fae8d8a372bc5cf0e~tplv-resize:640:0.png,7979,"[14.58, 23.09]",东风本田,91,中型车,汽油,2023.07,3年或10万公里
别克,微蓝6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/550b6dc2a2c44e06a3e9b666927fa56f~tplv-resize:640:0.png,7862,"[9.98, 10.28]",上汽通用别克,92,紧凑型车,纯电动,2023.10,3年或10万公里
深蓝汽车,深蓝S7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f51d4ff960ed499ea4b443967ee6b0fe~tplv-resize:640:0.png,7736,"[14.39, 21.19]",深蓝汽车,93,中型SUV,增程式,2023.06,3年或12万公里
宝马,宝马X5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,7698,"[58.75, 80]",华晨宝马,94,中大型SUV,48V轻混系统,2023.08,3年或10万公里
小鹏汽车,小鹏G6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67c41851c96341c19c0461ff9db91911~tplv-resize:640:0.png,7673,"[19.99, 26.69]",小鹏汽车,95,中型SUV,纯电动,2023.06,5年或12万公里
吉利银河,银河L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1454f92451164472a8fa0973ac768322~tplv-resize:640:0.png,7577,"[13.07, 17.77]",吉利银河,96,紧凑型SUV,插电式混合动力,2023.05,6年或15万公里
现代,途胜,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f2f194412c334188ace3731595a91729~tplv-resize:640:0.png,7492,"[12.88, 19.28]",北京现代,97,紧凑型SUV,汽油,2022.11,可选:3年或15万公里/5年或10万公里/7年或7万公里
奇瑞新能源,QQ冰淇淋,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b949ba428bc143aeb2bcfdef93eb7f61~tplv-resize:640:0.png,7462,"[2.99, 5.75]",奇瑞新能源,98,微型车,纯电动,2023.08,3年或10万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c02aa97643944bed96a20db674f0fcb6~tplv-resize:640:0.png,7419,"[33.98, 52.78]",北京奔驰,99,中大型车,48V轻混系统,2023.12,3年不限公里
雪佛兰,科鲁泽,https://p9-dcd.byteimg.com/img/motor-mis-img/f63e0947469ae2d9cee05bbdc33f514f~tplv-resize:640:0.png,7185,"[6.49, 7.89]",上汽通用雪佛兰,100,紧凑型车,汽油,2023.06,3年或10万公里
捷达,捷达VA3,https://p3-dcd.byteimg.com/img/motor-mis-img/f79702d9c2dbaebafe617f329a66b999~tplv-resize:640:0.png,7181,"[6.78, 9.28]",一汽-大众捷达,101,紧凑型车,汽油,2023.12,3年或10万公里
长安欧尚,长安欧尚X5 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4616746e0c748508ba07e1c3909e58f~tplv-resize:640:0.png,7166,"[7.19, 9.69]",长安汽车,102,紧凑型SUV,汽油,2023.04,3年或10万公里
长安,长安CS55 PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8727a564bae045058a6c89a8395c2612~tplv-resize:640:0.png,7029,"[7.79, 11.39]",长安汽车,103,紧凑型SUV,汽油,2023.09,3年或10万公里
零跑汽车,零跑T03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b895dcce4a1f4c22ac2890b5eeac8323~tplv-resize:640:0.png,7024,"[4.99, 7.99]",零跑汽车,104,微型车,纯电动,2023.03,3年或12万公里
丰田,皇冠陆放,https://p3-dcd.byteimg.com/img/motor-mis-img/7a7143dba294bfc49ff39a154e4b9ad5~tplv-resize:640:0.png,6988,"[24.78, 32.28]",一汽丰田,105,中型SUV,油电混合,2023.03,3年或10万公里
蔚来,蔚来ES6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/64a3a0a4ae604ebab934377a157a9851~tplv-resize:640:0.png,6943,"[33.8, 39.6]",蔚来,106,中型SUV,纯电动,2023.05,3年或12万公里
大众,高尔夫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc088b811b34649b7293e1446212e1f~tplv-resize:640:0.png,6766,"[11.78, 22.48]",一汽-大众,107,紧凑型车,汽油,2024.01,3年或10万公里
欧拉,欧拉好猫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4d618ed49b0e4372b02670629a04f337~tplv-resize:640:0.png,6621,"[10.17, 14.58]",长城汽车,108,小型车,纯电动,2023.02,4年或15万公里
丰田,雷凌,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4be933594d45455592d516c912d27b69~tplv-resize:640:0.png,6577,"[7.88, 11.38]",广汽丰田,109,紧凑型车,汽油,2023.03,3年或10万公里
长安欧尚,长安欧尚Z6,https://p3-dcd.byteimg.com/img/motor-mis-img/252d100a630cf9298e8d357fe7ee8ffc~tplv-resize:640:0.png,6553,"[8.99, 12.29]",长安汽车,110,紧凑型SUV,汽油,2023.06,3年或10万公里
丰田,汉兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f1126e1c10d7481a865e1864ae09118d~tplv-resize:640:0.png,6512,"[23.88, 31.88]",广汽丰田,111,中型SUV,油电混合,2023.06,3年或10万公里
